Name,Address,Latitude,Longitude,Category,Wardname,Ownership,LGAname,Wardcode,Func_Stats,Source,Alt_Name
Tamawa Clinic and Maternity,"Michika, Adamawa, Nigeria",10.62652588,13.38751221,Maternity Home,Michika 2,Private,Michika,ADSMCH07,Functional,eHA Polio,
Trust Medical Center,"Gombi, Adamawa, Nigeria",10.163,12.73687,Medical Center,Gombi North,Private,Gombi,ADSGMB06,Functional,eHA Polio,
Vala Hospital,"A13, Hong, Adamawa, Nigeria",10.25478,13.03166,Primary Health Center,Bangshika,Private,Hong,ADSHNG01,Functional,eHA Polio,
Wuru Bulude Health Clinic,"Mubi, Mubi North, Adamawa, Nigeria",10.2645,13.26168,Primary Health Center,Lamurde,Others,Mubi South,ADSGYL06,Unknown,eHA Polio,
Yaya Gombe Cbbi,"Mubi, Mubi North, Adamawa, Nigeria",10.26971436,13.25628662,Primary Health Center,Yelwa,Private,Mubi North,ADSMUB11,Unknown,eHA Polio,
Yola Specialist Hospital,"Yola South, Adamawa, 640221, Nigeria",9.2767,12.44554,Specialist Hospital,Nassarawo,Private,Yola North,ADSYLN09,Functional,eHA Polio,
Choufajaule Health Clinic,"Chafajaule Health Post, Dulo, Fufore, Adamawa, Nigeria",9.31619,12.86477,Primary Health Center,Ribadu,State Ministry of Health,Fufore,ADSFUR08,Functional,eHA Polio,
College of Health Clinic,"Barama, Mubi North, Adamawa, Nigeria",10.2744751,13.29272461,Educational Clinic,Lokuwa,State Ministry of Health,Mubi North,ADSMUB05,Unknown,eHA Polio,Kuacifa Health Clinic
Dadwari Health Clinic,"Gombi, Adamawa, Nigeria",10.12207031,12.51507568,Primary Health Center,Gaanda,State Ministry of Health,Gombi,ADSGMB03,Functional,eHA Polio,
Gambe Health Clinic,"Mayo-Belwa, Adamawa, Nigeria",8.62335,11.82466,Primary Health Center,Gang Fada,State Ministry of Health,Mayo-Belwa,ADSMWA03,Functional,eHA Polio,
Gatiro Health Clinic,"Gatiro Health Clinic, Fufore, Adamawa, Nigeria",9.07415,12.2624,Primary Health Center,Mayo Inne,State Ministry of Health,Fufore,ADSFUR06,Functional,eHA Polio,
Kubtava Health Clinic,"Kubtava Health Clinic, Kubtava, Hong, Adamawa, Nigeria",10.34509277,12.90393066,Primary Health Center,Bangshika,State Ministry of Health,Hong,ADSHNG01,Functional,eHA Polio,
Kwatala Primary Health Center,"Hasga, Michika, Adamawa, Nigeria",10.46850586,13.3861084,Primary Health Center,Mijilu,State Ministry of Health,Mubi North,ADSMUB07,Functional,eHA Polio,
Mbemun Health Clinic,"Road, Lafia, Larmurde, Adamawa, Nigeria",9.56891,11.83333,Primary Health Center,Dubange,State Ministry of Health,Lamurde,ADSLMR01,Functional,eHA Polio,
Nkafamiya Health Clinic,"Kafamuya, Michika, Adamawa, Nigeria",10.58063,13.42307,Primary Health Center,Munkavachitta,State Ministry of Health,Michika,ADSMCH09,Functional,eHA Polio,
Zangra Health Post,"Gombi, Adamawa, Nigeria",10.0787,12.46822,Dispensary,Boga,State Ministry of Health,Gombi,ADSGMB01,Unknown,eHA Polio,
Tilli Health Clinic,"Kafamuya, Michika, Adamawa, Nigeria",10.56261,13.42606,Primary Health Center,Wambilimi / Tili,State Ministry of Health,Michika,ADSMCH15,Functional,eHA Polio,
Tugga Health Clinic,"Mayo-Belwa, Adamawa, Nigeria",9.156921386,12.01171875,Primary Health Center,Gengle,State Ministry of Health,Mayo-Belwa,ADSMWA04,Functional,eHA Polio,Health Clinic
Zangun Health Clinic,"Numan, Larmurde, Adamawa, Nigeria",9.50216,11.98646,Primary Health Center,Imburu,State Ministry of Health,Numan,ADSNUM04,Functional,eHA Polio,
Bagung Health Post,"mbagung health post, Demsa, Adamawa, Nigeria",9.49810791,12.25128174,Dispensary,Mbula,State Primary Healthcare Development Agency,Demsa,ADSDSA09,Unknown,eHA Polio,
Bakin Rigiya Mararaba Health Post,"A13, Marraraba, Hong, Adamawa, Nigeria",10.31168,13.16192,Dispensary,Mayo Lope,State Primary Healthcare Development Agency,Hong,ADSHNG09,Functional,eHA Polio,
Bakka Dispensary,"Song, Adamawa, Nigeria",9.77669,12.49735,Dispensary,Dumne,State Primary Healthcare Development Agency,Song,ADSSNG02,Unknown,eHA Polio,
Bakopi Maternity and Child Health Center,"Demsa, Adamawa, Nigeria",9.56871,12.25491,Maternity Home,Suktu,State Primary Healthcare Development Agency,Song,ADSSNG09,Unknown,eHA Polio,
Banda Sarga Health Post,"Jada, Adamawa, Nigeria",8.51583,12.15184,Dispensary,Jaggu,State Primary Healthcare Development Agency,Ganye,ADSGAN06,Unknown,eHA Polio,
Batare Maternity,"Girei, Adamawa, Nigeria",9.399108887,12.48687744,Maternity Home,Girei 1,State Primary Healthcare Development Agency,Girei,ADSGRE04,Functional,eHA Polio,
Billi Health Clinic,"Za-Girta, Michika, Adamawa, Nigeria",10.4821167,13.51171875,Primary Health Center,Zah,State Primary Healthcare Development Agency,Michika,ADSMCH16,Functional,eHA Polio,
Buniikona Dispensary,"Bujum Kona Health Clinic, Numan, Adamawa, Nigeria",9.3125,11.65948486,Dispensary,Kpasham,State Primary Healthcare Development Agency,Demsa,ADSDSA08,Unknown,eHA Polio,
Burha Primary Health Center,"Bourah, Bourha, Mayo-Tsanaga, Extr�me-Nord, Cameroun",10.2654,13.47955,Primary Health Center,Bahuli,State Primary Healthcare Development Agency,Mubi North,ADSMUB01,Functional,eHA Polio,
Chaba Dispensary,"Buka, Mubi South, Adamawa, Nigeria",10.14964,13.36968,Dispensary,Duvu,State Primary Healthcare Development Agency,Mubi South,ADSGYL02,Functional,eHA Polio,
Dabora Health Post,"Ganye, Adamawa, Nigeria",8.462280273,11.9887085,Dispensary,Timdore,State Primary Healthcare Development Agency,Ganye,ADSGAN09,Functional,eHA Polio,Health Post Dabora
Dakau Health Post,"Teungo, Adamawa, Nigeria",8.176879883,11.97167969,Dispensary,Kiri 2,State Primary Healthcare Development Agency,Toungo,ADSTNG05,Functional,eHA Polio,
Daksiri Health Post,"Hong, Adamawa, Nigeria",10.14321,12.92698,Dispensary,Daksiri,State Primary Healthcare Development Agency,Hong,ADSHNG02,Unknown,eHA Polio,
Dede Maternity,"Maiha, Mubi South, Adamawa, Nigeria",10.0546875,13.23492432,Maternity Home,Mayo Nguli,State Primary Healthcare Development Agency,Maiha,ADSMAH06,Unknown,eHA Polio,Maternity
Dubudubu Health Post,"Maplau, Mubi North, Adamawa, Nigeria",10.159729,13.19647217,Dispensary,Nduku,State Primary Healthcare Development Agency,Mubi South,ADSGYL10,Unknown,eHA Polio,
Dugdu Health Post,"Toungo, Teungo, Adamawa, Nigeria",8.092285156,12.00769043,Dispensary,Kiri 1,State Primary Healthcare Development Agency,Toungo,ADSTNG04,Functional,eHA Polio,Health Clinic Duedu
Duhu Health Center,"A13, Gulak, Madagali, Adamawa, Nigeria",10.78859,13.4384,Primary Health Center,Duhu,State Primary Healthcare Development Agency,Madagali,ADSMDG02,Functional,eHA Polio,
Dulo Bwatiye Health Post,"Dulo Bwatiye Health Post, Fufore, Adamawa, Nigeria",9.34528,12.78004,Dispensary,Ribadu,State Primary Healthcare Development Agency,Fufore,ADSFUR08,Functional,eHA Polio,
Fufore Cottage Hospital,"Cottage Hospital Wuro Ai, Yola - Gurin Federal Road, Wuro Ali, Fufore, Adamawa, Nigeria",9.216674805,12.66369629,Cottage Hospital,Fufore,State Primary Healthcare Development Agency,Fufore,ADSFUR03,Functional,eHA Polio,
Futuless Maternity,"Michika, Adamawa, Nigeria",10.57625,13.45896,Maternity Home,Futuless,State Primary Healthcare Development Agency,Michika,ADSMCH02,Unknown,eHA Polio,
Gagjubi Health Post,"Ganye, Adamawa, Nigeria",8.644897461,11.92047119,Dispensary,Yebbi,State Primary Healthcare Development Agency,Ganye,ADSGAN10,Functional,eHA Polio,
Gangjang Health Post,"Gangjaen Health Post, Ganye, Adamawa, Nigeria",8.419921875,11.95788574,Dispensary,Gurumpawo,State Primary Healthcare Development Agency,Ganye,ADSGAN05,Unknown,eHA Polio,
Gangnai Health Post,"Lala, Jada, Adamawa, Nigeria",8.752075195,12.09112549,Dispensary,Mayo Kalaye,State Primary Healthcare Development Agency,Jada,ADSJAD08,Unknown,eHA Polio,
Gangsanji Basic Health Center,"gangsanji primary heath center, Jada, Adamawa, Nigeria",8.64623,12.08026,Primary Health Center,Mbullo,State Primary Healthcare Development Agency,Jada,ADSJAD09,Functional,eHA Polio,
Gangsifa Health Post,"Jada, Adamawa, Nigeria",8.684509277,11.92749023,Dispensary,Mbullo,State Primary Healthcare Development Agency,Jada,ADSJAD09,Unknown,eHA Polio,
Gangwoki Health Post,"Gang Woki Health Post, A8, DasHEN, Jada, Adamawa, Nigeria",8.468688965,12.09112549,Dispensary,Ganye 2,State Primary Healthcare Development Agency,Ganye,ADSGAN04,Unknown,eHA Polio,Health Clinic Gangwoki
Gapsin Health Post,"Gabsin Dispensary Clinic, Fufore, Adamawa, Nigeria",9.077880859,12.58331299,Dispensary,Uki Tuki,State Primary Healthcare Development Agency,Fufore,ADSFUR09,Functional,eHA Polio,Gapsun Healt Post
Garaha Mojili Maternity,"Primary Health Clinic, Mojili, Hong, Adamawa, Nigeria",10.36249,12.86681,Maternity Home,Garaha,State Primary Healthcare Development Agency,Hong,ADSHNG03,Unknown,eHA Polio,
Garta Health Post,"Song, Adamawa, Nigeria",9.95533,12.4484,Dispensary,Gudu Mboi,State Primary Healthcare Development Agency,Song,ADSSNG03,Unknown,eHA Polio,
Goshinda Health Post,"Dispensery, Fufore, Adamawa, Nigeria",9.578125,12.99810791,Dispensary,Farang,State Primary Healthcare Development Agency,Fufore,ADSFUR02,Functional,eHA Polio,
Guyuk Primary Health Center,"Guyuk, Adamawa, Nigeria",9.90526,11.93919,Primary Health Center,Guyuk,State Primary Healthcare Development Agency,Guyuk,ADSGUY07,Functional,eHA Polio,
Gyakan Maternal and Child Health Clinic,"Gyakan maternal and child clinic, Larmurde, Adamawa, Nigeria",9.493713379,11.55212402,Primary Health Center,Suwa,State Primary Healthcare Development Agency,Lamurde,ADSLMR09,Functional,eHA Polio,
Jarandi Gada Health Post,"Jada, Adamawa, Nigeria",8.696899414,12.23828125,Dispensary,Nyibago,State Primary Healthcare Development Agency,Jada,ADSJAD10,Unknown,eHA Polio,
Jusangum Health Post,"Jusangum Health Post, Ganye, Adamawa, Nigeria",8.348327637,11.97631836,Dispensary,Gamu,State Primary Healthcare Development Agency,Ganye,ADSGAN02,Unknown,eHA Polio,
Kaika Health Clinic,"Tading Ngurore, Ganye, Adamawa, Nigeria",8.55433,11.84722,Primary Health Center,Yebbi,State Primary Healthcare Development Agency,Ganye,ADSGAN10,Functional,eHA Polio,
Karashude Health Post,"Michika, Adamawa, Nigeria",10.42687988,13.48590088,Dispensary,Zah,State Primary Healthcare Development Agency,Michika,ADSMCH16,Functional,eHA Polio,
Kilalai Health Post,,7.914489746,11.87927246,Dispensary,Gumti,State Primary Healthcare Development Agency,Toungo,ADSTNG03,Unknown,eHA Polio,
Kiri Basic Health Center,"Teungo, Adamawa, Nigeria",8.148071289,11.95489502,Primary Health Center,Kiri 1,State Primary Healthcare Development Agency,Toungo,ADSTNG04,Unknown,eHA Polio,
Kojoli Jabbe Health Post,"Fufore, Adamawa, Nigeria",8.767272949,12.45031738,Dispensary,Mapeo,State Primary Healthcare Development Agency,Jada,ADSJAD07,Unknown,eHA Polio,
Kuborshosho Model Health Center,"Kuda, Michika, Adamawa, Nigeria",10.64892578,13.296875,Primary Health Center,Madzi,State Primary Healthcare Development Agency,Michika,ADSMCH05,Functional,eHA Polio,
Kudiri Maternity and Child Health,"Kudiri maternity and child health clinic, Geren, Girei, Adamawa, Nigeria",9.476684571,12.28887939,Maternity Home,Demsa,State Primary Healthcare Development Agency,Demsa,ADSDSA03,Unknown,eHA Polio,Kudiri Primary Health Center
Kulata Dispensary,"Song, Adamawa, Nigeria",9.70557,12.25943,Dispensary,Waltandi,State Primary Healthcare Development Agency,Song,ADSSNG10,Unknown,eHA Polio,
Kwadankin Dispensary,"Mubi North, Adamawa, Nigeria",10.13671875,13.20709229,Dispensary,Nduku,State Primary Healthcare Development Agency,Mubi South,ADSGYL10,Unknown,eHA Polio,
Kwambula Health Post,"kwambula heath post, A13, Wuro Ngangandi, Madagali, Adamawa, Nigeria",10.76367188,13.39849854,Dispensary,Duhu,State Primary Healthcare Development Agency,Madagali,ADSMDG02,Functional,eHA Polio,
Laide Dispensary,"Song, Adamawa, Nigeria",9.747497559,12.65289307,Dispensary,Song Waje,State Primary Healthcare Development Agency,Song,ADSSNG08,Functional,eHA Polio,Lainde Health Post Song Lg
Lakum Primary Health Clinic,"Guyuk, Adamawa, Nigeria",9.911071777,11.96411133,Primary Health Center,Purakayo,State Primary Healthcare Development Agency,Guyuk,ADSGUY10,Functional,eHA Polio,
Lira Health Post,"Tumbicha, Mubi North, Adamawa, Nigeria",10.3808,13.48074,Dispensary,Muchalla,State Primary Healthcare Development Agency,Mubi North,ADSMUB08,Unknown,eHA Polio,
Lokoro Maternity Clinic,"Guyuk, Adamawa, Nigeria",9.856506348,11.93231201,Maternity Home,Lokoro,State Primary Healthcare Development Agency,Guyuk,ADSGUY09,Functional,eHA Polio,
Lugdira Dispensary,"Sorau - Mubi Road, Paka, Maiha, Adamawa, Nigeria",10.09191895,13.19891357,Dispensary,Mayo Nguli,State Primary Healthcare Development Agency,Maiha,ADSMAH06,Functional,eHA Polio,
Mabang Maternity and Child Health,"Mayo-Belwa, Adamawa, Nigeria",9.065307617,11.73352051,Maternity Home,Gorobi,State Primary Healthcare Development Agency,Mayo-Belwa,ADSMWA05,Unknown,eHA Polio,
Mamgla Nana Health Post,"Mamgla Nana Health Post, Jada, Adamawa, Nigeria",8.671081543,11.99530029,Dispensary,Mbullo,State Primary Healthcare Development Agency,Jada,ADSJAD09,Unknown,eHA Polio,
Mayoine Maternity and Child Health,,9.11509,12.23052,Maternity Home,Mayo Inne,State Primary Healthcare Development Agency,Fufore,ADSFUR06,Functional,eHA Polio,
Mayome Health Center,,9.22608,12.23066,Primary Health Center,Mayo Inne,State Primary Healthcare Development Agency,Fufore,ADSFUR06,Functional,eHA Polio,
Mbalwaha Maternity,,10.32952881,12.94488525,Maternity Home,Bangshika,State Primary Healthcare Development Agency,Hong,ADSHNG01,Unknown,eHA Polio,
Michika Maternity Center,,10.63021,13.39408,Maternity Home,Ninkisi / Wuro Ngiki,State Primary Healthcare Development Agency,Michika,ADSMCH10,Functional,eHA Polio,
Mirinyn Health Post,,10.09637,12.95448,Dispensary,Daksiri,State Primary Healthcare Development Agency,Hong,ADSHNG02,Functional,eHA Polio,
Munduva Maternity Center,,10.21879,13.32265,Maternity Home,Gude,State Primary Healthcare Development Agency,Mubi South,ADSGYL04,Unknown,eHA Polio,
Nadeu Health Clinic,,8.51465,12.0754,Primary Health Center,Danaba,State Primary Healthcare Development Agency,Jada,ADSJAD01,Functional,eHA Polio,
Naguma Health Post,,8.61907959,12.05029297,Dispensary,Danaba,State Primary Healthcare Development Agency,Jada,ADSJAD01,Unknown,eHA Polio,
Nassarawo Demsa Maternity and Child Health,,9.45982,12.04105,Maternity Home,Nassarawo Demsa,State Primary Healthcare Development Agency,Demsa,ADSDSA10,Unknown,eHA Polio,
Ndingala Health Post,,8.92669,12.22047,Dispensary,Mayo Inne,State Primary Healthcare Development Agency,Fufore,ADSFUR06,Functional,eHA Polio,
Nyagang Health Post,,8.551696777,12.41027832,Dispensary,Yeli,State Primary Healthcare Development Agency,Jada,ADSJAD11,Unknown,eHA Polio,
Ruwo Sani Maternal and Child Health Clinic,,9.50607247,12.50127222,Primary Health Center,Jera Bakari,State Primary Healthcare Development Agency,Girei,ADSGRE06,Unknown,eHA Polio,
Salma Koli Health Post,,10.01611328,13.09771729,Dispensary,Manjekin,State Primary Healthcare Development Agency,Maiha,ADSMAH05,Functional,eHA Polio,Salma Health Post
Sigire Primary Health Center,,9.92805,12.6168,Primary Health Center,Sigire,State Primary Healthcare Development Agency,Song,ADSSNG06,Functional,eHA Polio,
Talum Health Post,,9.74969,11.9715,Dispensary,Talum,State Primary Healthcare Development Agency,Shelleng,ADSSHG10,Unknown,eHA Polio,
Tantilla Health Post,,10.2598877,13.35632324,Dispensary,Vimtim,State Primary Healthcare Development Agency,Mubi North,ADSMUB10,Unknown,eHA Polio,
Tashan Gurgu Health Post,,9.337890625,11.86309815,Dispensary,Kpasham,State Primary Healthcare Development Agency,Demsa,ADSDSA08,Functional,eHA Polio,
Thluku Health Post,,10.48851,13.45372,Dispensary,Zah,State Primary Healthcare Development Agency,Michika,ADSMCH16,Unknown,eHA Polio,
Tipto Maternity and Child Health,,9.6119,11.65725,Maternity Home,Ngbebogun,State Primary Healthcare Development Agency,Lamurde,ADSLMR06,Unknown,eHA Polio,
Tsaranyi Dispensary,,10.14727783,13.25732422,Dispensary,Nduku,State Primary Healthcare Development Agency,Mubi South,ADSGYL10,Functional,eHA Polio,Tsaranyi Health Post
Tsaubiri Dispensary,,9.72937,12.24638,Dispensary,Waltandi,State Primary Healthcare Development Agency,Song,ADSSNG10,Unknown,eHA Polio,
Tudun Wada Maternity,,10.58818224,13.34928635,Maternity Home,Jigalambu,State Primary Healthcare Development Agency,Michika,ADSMCH04,Functional,eHA Polio,
Wulla Kushiri Primary Health Center,,10.74188232,13.63232422,Primary Health Center,Wula,State Primary Healthcare Development Agency,Madagali,ADSMDG10,Functional,eHA Polio,
Wuro Bokki Maternal and Child Health Clinic,,9.38635,12.79412,Primary Health Center,Wuro Bokki,State Primary Healthcare Development Agency,Fufore,ADSFUR10,Functional,eHA Polio,Wuro Bokki Primary Health Center
Wuro Dole Maternity and Child Health,,9.38073,12.60233,Maternity Home,Wuro Dole,State Primary Healthcare Development Agency,Girei,ADSGRE10,Unknown,eHA Polio,
Wuro Kurori Health Post,,9.53499,13.12786,Dispensary,Konkol,State Primary Healthcare Development Agency,Maiha,ADSMAH03,Unknown,eHA Polio,
Wuro Ladde Maternity,,9.891723633,13.20428467,Maternity Home,Sorau A,State Primary Healthcare Development Agency,Maiha,ADSMAH08,Unknown,eHA Polio,
Wuro Yolde Health Center,,9.13159,12.1136,Primary Health Center,Ndikong,State Primary Healthcare Development Agency,Mayo-Belwa,ADSMWA09,Functional,eHA Polio,
Gangsanen Health Post,,8.629272461,12.07189941,Dispensary,Danaba,State Primary Healthcare Development Agency,Jada,ADSJAD01,Functional,eHA Polio,
Yolde Pate Health Post,,9.209289551,12.43811035,Dispensary,Bole Yolde Pate,State Primary Healthcare Development Agency,Yola South,ADSYLA03,Unknown,eHA Polio,Bole Yolde Health Clinic Dou Yolde
Tillijo Health Clinic,,10.54673,13.35839,Primary Health Center,Vih / Boka,State Primary Healthcare Development Agency,Michika,ADSMCH14,Functional,eHA Polio,
Ndikong Maternity Health Center,,9.17010471,12.2010185,Maternity Home,Ndikong,Others,Mayo-Belwa,ADSMWA09,Unknown,eHA Polio,
Kwah Primary Health Center,,9.47399,11.63725,Primary Health Center,Waduku,State Ministry of Health,Lamurde,ADSLMR10,Functional,eHA Polio,
Mbulo Health Clinic,,8.721923828,11.92388916,Primary Health Center,Gang Fada,State Ministry of Health,Mayo-Belwa,ADSMWA03,Functional,eHA Polio,
Gella Maternal and Child Health Clinic,,10.15692139,13.30212402,Primary Health Center,Gella,State Primary Healthcare Development Agency,Mubi South,ADSGYL03,Functional,eHA Polio,
Humbutudi Maternity Clinic,,10.17633057,13.17352295,Maternity Home,Humbutudi,State Primary Healthcare Development Agency,Maiha,ADSMAH02,Unknown,eHA Polio,
Mildu Dispensary,,10.81488037,13.57287598,Dispensary,Sukur,State Primary Healthcare Development Agency,Madagali,ADSMDG08,Functional,eHA Polio,
Muhda Maternity,,10.19470215,13.23852539,Maternity Home,Mugulbu,State Primary Healthcare Development Agency,Mubi South,ADSGYL07,Unknown,eHA Polio,Mugulbu Maternity Center
Tingno Primary Health Center,,9.550292968,11.69750977,Primary Health Center,Waduku,State Primary Healthcare Development Agency,Lamurde,ADSLMR10,Functional,eHA Polio,Maternal and Child Health Tingno Dutse
Choncha Health Clinic,,8.72301,12.55075,Primary Health Center,Koma 1,State Primary Healthcare Development Agency,Jada,ADSJAD04,Functional,eHA Polio,
Gombi Health Center,,10.1562633,12.7379417,Primary Health Center,Gombi South,State Ministry of Health,Gombi,ADSGMB07,Functional,Measles Campaign,
Buppa Primary Health Center,,10.6281906,13.395375,Primary Health Center,Michika 2,National Primary Healthcare Development Agency,Michika,ADSMCH07,Functional,Measles Campaign,
